chr---			
chr---			
chr1	12252490	12252573	1
chr1	17664550	17664622	1
chr1	17668448	17668593	1
chr1	21894652	21894737	1
chr1	26644475	26644500	1
chr1	26644537	26644562	1
chr1	28199152	28199176	1
chr1	29314106	29314239	1
chr1	29320001	29320028	1
chr1	32480082	32480230	1
chr1	32745686	32745799	1
chr1	36316460	36316539	1
chr1	62293107	62293233	1
chr1	109730810	109730963	1
chr1	109734068	109734093	1
chr1	117311451	117311677	1
chr1	144474399	144474478	1
chr1	145265491	145265520	1
chr1	145439812	145439920	1
chr1	145440908	145441051	1
chr1	149291064	149291173	1
chr1	149577582	149577607	1
chr1	151131292	151131698	1
chr1	153333426	153333459	1
chr1	154437901	154438008	1
chr1	158813780	158813912	1
chr1	158911772	158911858	1
chr1	161187809	161187867	1
chr1	161188031	161188066	1
chr1	161483822	161483919	1
chr1	161486316	161487125	1
chr1	161489037	161489077	1
chr1	161493284	161493893	1
chr1	161503009	161503522	1
chr1	161633034	161633097	1
chr1	161680550	161680637	1
chr1	167654721	167654747	1
chr1	167663374	167663472	1
chr1	192129535	192129560	1
chr1	195633357	195633391	1
chr1	198616415	198616546	1
chr1	198644092	198644225	1
chr1	198713183	198713322	1
chr1	198725035	198725170	1
chr1	207680059	207680112	1
chr1	207700391	207700442	1
chr1	207713326	207713401	1
chr1	207715547	207715575	1
chr1	207724086	207724187	1
chr1	207734210	207734279	1
chr1	207734306	207734467	1
chr1	207741600	207741763	1
chr1	207753585	207753614	1
chr1	207780597	207780648	1
chr1	207782654	207782786	1
chr1	207789997	207790090	1
chr1	207890813	207890963	1
chr1	220978397	220978424	1
chr1	248039543	248039733	1
chr1	699608	699648	-1
chr1	700602	700627	-1
chr1	8458736	8458945	-1
chr1	23724041	23724067	-1
chr1	27939425	27939565	-1
chr1	27949586	27949628	-1
chr1	30932803	30932827	-1
chr1	31228354	31228438	-1
chr1	32799669	32799990	-1
chr1	36931646	36931673	-1
chr1	36932222	36932405	-1
chr1	36932831	36932858	-1
chr1	36934757	36934841	-1
chr1	36937894	36937941	-1
chr1	54723619	54723652	-1
chr1	68603490	68603592	-1
chr1	68613102	68613582	-1
chr1	108226116	108226152	-1
chr1	112269198	112269514	-1
chr1	144338121	144339034	-1
chr1	146550039	146550065	-1
chr1	150547210	150547359	-1
chr1	150702692	150703148	-1
chr1	150720254	150720353	-1
chr1	150975117	150975175	-1
chr1	151337024	151337166	-1
chr1	151337685	151337713	-1
chr1	151342208	151342237	-1
chr1	153516246	153516370	-1
chr1	154923953	154923986	-1
chr1	157765926	157765960	-1
chr1	161009406	161009587	-1
chr1	161512009	161512392	-1
chr1	161514492	161514603	-1
chr1	169490168	169490504	-1
chr1	169659834	169659920	-1
chr1	169673864	169673894	-1
chr1	183525379	183525435	-1
chr1	183542329	183542415	-1
chr1	184765055	184765206	-1
